host_id,neighbourhood,room_type,listings_count,availability
214287,3,1,1,0
213709,2,1,1,236
221373,5,2,1,273
221873,3,1,1,210
35935,2,2,3,156
229740,2,1,1,87
9744,2,1,3,308
232066,3,2,2,60
221843,2,1,1,334
236655,3,2,1,202
161581,2,1,1,0
237329,3,2,1,129
172137,2,2,1,18
240834,4,1,3,345
241678,3,1,1,139
244497,2,2,1,343
246260,2,1,1,112
240360,3,1,1,0
194739,3,2,1,358
121809,4,1,2,365
204539,4,1,5,365
204539,4,1,5,365
204539,4,1,5,365
250209,3,1,1,284
27104,3,2,1,290
252323,2,1,1,0
10889,2,1,2,283
255583,3,3,1,363
255748,2,2,4,274
210746,2,2,3,301
256161,3,2,7,365
190409,1,2,3,364
258054,3,1,1,277
258164,3,2,1,291
261202,3,1,1,70
260709,2,1,1,122
262095,2,1,1,332
247432,2,1,1,120
131716,2,1,2,68
88209,3,2,1,68
263414,3,1,1,331
264100,3,2,1,40
264411,3,1,1,288
168525,2,2,2,336
265284,3,2,1,358
267593,3,1,1,262
262143,2,1,1,348
76055,2,1,1,334
256161,3,2,7,316
270364,2,1,1,113
271975,3,1,1,285
272006,4,1,1,344
199392,2,1,1,331
272784,4,2,1,274
239208,3,1,1,275
274557,3,1,1,274
275199,2,1,1,252
275578,3,1,1,289
276291,3,1,2,270
276207,3,1,4,288
277379,3,2,2,312
277595,3,1,3,259
278545,2,1,1,344
278807,3,1,1,0
279797,3,2,1,341
279829,3,2,1,365
281336,4,1,1,9
281343,2,2,2,352
282927,3,1,1,350
204539,4,1,5,365
283395,3,2,4,345
287773,3,1,1,126
288905,3,1,1,204
240834,4,2,3,355
289188,3,2,3,273
289271,3,2,1,343
289653,3,1,1,233
285597,3,1,1,98
292132,2,1,2,180
292204,3,1,3,254
256161,3,2,7,310
292630,3,1,1,288
293911,2,1,1,0
126607,3,1,2,142
295760,3,1,1,0
296119,2,2,2,273
291112,3,1,1,295
297666,3,1,1,273
297769,3,2,2,334
299370,2,1,1,65
299748,3,1,1,0
281764,2,1,1,307
302936,2,2,4,112
303562,3,1,1,301
303882,3,1,1,148
197755,2,1,1,53
303939,5,2,4,316
303939,5,2,4,342
304081,3,1,1,298
305314,3,1,1,150
303939,5,2,4,348
306150,2,2,2,334
306456,2,1,1,350
306545,3,1,2,312
306605,3,1,1,91
306739,2,1,4,331
307241,3,2,1,295
292132,2,2,2,0
303939,5,2,4,320
307962,4,1,1,286
309329,2,2,3,157
308652,2,2,2,365
310458,2,2,2,31
295128,1,2,5,334
310670,1,2,7,350
128447,3,1,4,273
170510,2,1,2,347
306545,3,1,2,296
311286,2,2,4,282
196764,1,2,5,365
312722,2,2,2,363
313317,2,2,1,321
311286,2,2,4,221
314115,3,2,1,229
314377,3,2,2,168
314562,3,2,1,119
314582,2,2,2,341
196764,1,2,5,365
315286,2,1,1,210
315396,3,1,1,338
316013,2,1,1,88
46978,3,2,2,48
316989,3,1,1,273
317041,3,2,3,345
317041,3,2,3,317
317687,3,1,1,188
317684,3,1,1,88
317795,2,2,1,242
317809,3,1,1,336
318398,2,1,1,74
318998,3,1,1,23
319092,2,2,1,309
320422,2,2,1,0
320450,3,1,1,322
320761,2,1,1,331
320538,2,1,1,18
321756,3,2,1,350
321934,2,1,1,329
295469,2,3,1,327
322716,2,2,7,305
322884,2,1,1,276
206769,2,2,2,359
206769,2,1,2,308
324460,3,1,1,12
314941,3,2,2,352
324859,3,1,1,273
325389,2,1,1,340
136227,3,1,1,273
327673,2,1,2,311
329436,2,1,2,285
329892,3,1,1,16
330488,2,2,1,284
330660,3,2,1,356
331195,3,2,1,117
331224,3,1,1,137
331589,2,1,1,0
330347,2,1,1,291
332189,3,2,1,312
334949,3,1,1,304
196764,1,2,5,334
323517,3,2,2,365
240427,2,1,2,55
342054,3,1,1,351
343250,2,1,1,317
343302,2,1,2,266
281229,3,1,1,323
314506,3,2,1,323
26210,3,2,1,339
352168,3,1,1,120
155689,2,2,1,152
353965,3,2,1,337
354330,3,2,1,287
354965,2,1,1,21
358568,2,1,1,61
72062,3,1,4,298
361855,3,1,3,350
363834,3,1,1,293
365153,2,1,1,245
366380,3,1,1,313
366492,2,1,1,251
368932,2,1,1,239
370194,2,1,1,329
272651,2,2,1,355
373085,3,1,1,0
33405,2,1,1,351
384654,4,1,1,310
389924,2,1,1,365
244444,3,1,1,19
265109,4,1,1,323
394640,3,1,1,58
394752,2,2,1,0
397983,2,1,1,167
1420434,2,3,2,362
401696,3,1,1,239
402491,2,1,1,213
205988,3,1,1,349
394633,2,1,1,363
118971,2,1,2,191
411489,2,1,2,314
417504,2,1,28,365
417741,3,1,1,293
420682,4,2,1,148
422561,2,1,1,0
425506,2,1,2,317
429216,2,1,1,352
429873,2,2,1,364
430188,2,2,3,334
432303,2,2,1,334
434987,3,2,1,322
417504,2,1,28,365
417504,2,1,28,365
438133,2,1,2,279
417504,2,1,28,365
446599,3,1,1,13
160746,4,1,1,322
449168,2,1,1,286
448312,2,2,2,164
448312,2,1,2,337
449787,3,1,1,301
451545,2,1,1,274
453519,2,1,1,330
454393,3,1,1,312
454731,3,1,1,49
455446,2,2,1,358
455712,2,1,1,44
456875,3,2,2,327
457253,3,1,2,328
410094,3,1,1,32
417504,2,1,28,365
103729,3,1,1,303
313038,3,1,1,4
462776,3,1,2,1
464506,3,2,2,316
287897,3,1,1,124
327900,3,1,2,347
478136,3,2,1,273
480943,3,1,2,294
277125,3,1,1,228
482998,3,1,1,10
209460,2,1,4,336
496426,3,1,1,275
82930,2,1,2,294
25183,2,1,2,311
501527,2,1,1,281
195137,3,1,4,0
35375,4,2,2,335
478395,2,1,1,293
473113,2,1,1,322
509341,2,1,1,238
509918,2,1,1,273
116599,2,2,2,351
277595,2,2,3,337
283395,3,2,4,359
517966,2,2,3,364
180301,2,1,1,304
520279,3,1,1,301
519554,3,2,4,345
522065,3,3,2,343
506419,3,2,1,354
523218,3,2,1,339
526172,3,1,1,278
526805,2,1,1,157
532039,3,2,1,69
535621,3,3,1,82
465278,2,1,1,345
417504,2,1,28,365
540526,2,1,1,264
322716,2,1,7,351
548817,3,2,2,275
551055,3,2,2,319
5926,3,2,3,302
552679,2,1,1,165
554874,2,2,1,42
556514,3,2,1,119
306739,2,1,4,325
196764,1,2,5,365
3088389,3,1,1,138
566105,3,1,1,210
258867,2,1,1,242
568568,3,1,1,44
456875,3,1,2,334
573316,3,2,1,0
571952,3,1,1,275
181376,2,2,3,345
575906,2,2,1,182
314582,2,2,2,340
275582,3,2,2,29
579495,2,1,2,63
314941,3,1,2,364
582598,3,1,1,274
567187,3,2,1,329
127772,3,1,1,269
585166,4,1,1,330
586098,2,1,1,274
497672,3,1,1,139
209460,2,1,4,334
2248897,2,1,1,317
598591,3,1,1,212
599354,3,2,1,273
312405,2,1,1,92
599002,2,1,1,342
610769,3,1,3,301
611716,2,1,2,258
617990,3,1,2,307
622460,3,1,1,194
622855,2,2,2,332
308652,2,2,2,363
62812,3,2,1,344
627217,3,1,3,298
620288,3,2,1,0
629050,2,2,2,191
23276,2,1,1,309
256161,3,2,7,359
425157,2,2,1,0
597085,2,2,1,276
647988,3,1,1,326
648017,2,2,1,334
651390,3,1,1,266
651818,3,3,1,81
507186,2,1,1,0
653405,3,2,1,233
654304,3,2,1,364
186549,2,1,1,288
141272,2,1,1,131
660764,3,1,1,0
663430,2,1,1,333
663764,2,2,2,151
663879,2,1,2,323
663384,2,1,1,273
655521,3,1,1,0
669913,3,1,1,298
669695,2,1,1,308
671423,3,1,1,0
235719,3,1,1,270
672898,3,1,1,328
673090,3,1,1,19
674970,2,2,1,35
650107,3,1,1,0
679037,3,1,1,0
680818,2,1,1,250
622866,2,1,1,324
683027,3,2,2,285
322716,2,2,7,225
668326,2,1,1,328
683975,2,2,1,72
684966,2,1,1,59
686147,3,1,1,297
686768,2,1,1,237
686813,2,2,4,363
687361,2,1,1,345
682418,3,1,1,283
689661,3,1,1,0
630453,3,1,1,296
616825,3,1,1,364
299755,3,2,1,0
700008,3,1,1,0
701571,3,1,1,269
705526,2,1,1,364
498734,3,1,1,304
709334,3,1,3,304
709434,2,1,1,45
709687,2,1,1,333
710669,3,1,3,64
710669,3,2,3,365
710669,3,2,3,90
709334,3,1,3,253
715763,3,2,2,365
715763,3,1,2,350
